AEO Category Name,EFM Category Name,EFM Category Id
Chair,chair,3
Couch,sofa,1
Table,table,0
Bed,bed,4
WallArt,picture_frame,21
Plant,flower_pot,13
Window,window,28
Mirror,mirror,22
Lamp,lamp,16
